,category,url,title,subtitle,pick,supporters,reward_levels,like_num,share_num,price,achievement_rate,achievement_goal,funding_period,funding_duration,start_day,abs_achievement_rate
14053,실용 · 취미,https://tumblbug.com/bakers2,[팬콜]<베이커스쿡북> 쩝쩝박사 빵쟁이는 이렇게 먹는다!,식재료를 거부감 없이 즐기고 미식을 탐미하는 분들을 위한 올크팩 양윤실 베이커의 레시피44,0,30,"['1,000원 +', '25,200원 +', '50,400원 +']",93,4,806400.0,161%,500000,2023.12.06 ~ 2023.12.18,12,Wednesday,161.28
14054,실용 · 취미,https://tumblbug.com/spain_enlacasa,[ All about Tapas ] 방구석 스페인 즐기기 ,안녕하세요. 방구석에서 스페인 요리를 함께 하고 싶은 마음으로 프로젝트를 준비하였습니다.,0,30,"['1,000원 +', '20,900원 +', '25,900원 +', '37,800원 +', '42,800원 +', '47,800원 +', '50,700원 +', '55,700원 +', '20,900원 +']",30,2,782200.0,156%,500000,2023.11.29 ~ 2023.12.08,9,Wednesday,156.44
14055,실용 · 취미,https://tumblbug.com/brotherbooks,당신의 품격과 통장 잔고를 UP 해줄 경제/재테크 상식,당신의 품격과 통장잔고를 UP 해줄 경제/재테크 상식,0,51,"['1,000원 +', '10,000원 +', '10,000원 +', '15,000원 +']",83,0,765000.0,153%,500000,2023.08.24 ~ 2023.09.07,14,Thursday,153.0
14056,실용 · 취미,https://tumblbug.com/beautybuty,화장품만 잘 써도 성형보다 낫다,20년간 괴롭히던 피부트러블에서 벗어나다. 내가 만든 화장품으로 피부리즈 시대로 돌아간다.,0,43,"['1,000원 +', '13,000원 +', '30,000원 +', '50,000원 +', '10,000원 +']",74,21,726500.0,145%,500000,2023.09.26 ~ 2023.10.27,31,Tuesday,145.3
14057,실용 · 취미,https://tumblbug.com/daso1005,한 권으로 끝내는 워홀러 필수 영단어,원어민이 쓰는 필수 단어 떠먹여드립니다.,0,29,"['1,000원 +', '12,900원 +', '9,900원 +']",45,10,659300.0,131%,500000,2023.11.08 ~ 2023.11.24,16,Wednesday,131.86
14058,실용 · 취미,https://tumblbug.com/storyonstory,당신의 이야기를 책으로 만들어 드립니다,글쓰기 안내서에 따라 에세이를 완성하면 한 권의 책이 현관 앞에 도착합니다.,0,38,"['1,000원 +', '99,000원 +', '178,000원 +', '310,000원 +', '89,000원 +']",63,30,4326000.0,131%,3300000,2023.05.30 ~ 2023.06.26,27,Tuesday,865.1999999999999
14059,실용 · 취미,https://tumblbug.com/winetip,와인의 모든 것 - 마시는 즐거움과 배우는 지식,와인의 기초 지식부터 깊이 있는 지식까지 담고 있어 와인을 처음 접하는 분들에게 추천!!,0,40,"['1,000원 +', '18,000원 +', '16,000원 +']",86,5,655000.0,131%,500000,2023.06.16 ~ 2023.06.20,4,Friday,131.0
14060,실용 · 취미,https://tumblbug.com/chinharu01,<아주 사적인 테라피> 22가지 아로마 오일 활용법,불면증과 트러블 케어를 위한 1년간의 아로마 테라피 기록 & 오일별 블렌딩 레시피 모음집 ,0,38,"['1,000원 +', '13,000원 +', '16,900원 +']",52,18,639000.0,127%,500000,2023.11.14 ~ 2023.12.25,41,Tuesday,127.8
14061,실용 · 취미,https://tumblbug.com/freebrother,실무자 중심의 기초회계 / 중급회계,회계업무를 위해 꼭 알아야 하는 회계 지식,0,33,"['1,000원 +', '10,000원 +', '10,000원 +', '18,000원 +']",79,5,629000.0,125%,500000,2023.06.09 ~ 2023.06.25,16,Friday,125.8
14062,실용 · 취미,https://tumblbug.com/bangtip,자취생이라면 꼭 알아야 할 자취방 구하기 비법,내 맘에 쏙 들어오는 방 찾기 어려운 분들 자취방 구하기의 A부터 Z까지 알아보세요!!,0,31,"['1,000원 +', '17,000원 +', '19,000원 +']",62,0,627000.0,125%,500000,2023.06.22 ~ 2023.06.26,4,Thursday,125.4
