,Reward Levels,Selection Counts,Log Reward Levels
192,10500.0,128,9.259225769705994
193,40800.0,9,10.616461869895815
194,66900.0,16,11.110969193687714
195,85800.0,5,11.359785940419789
196,21900.0,69,9.994287576862567
197,29500.0,59,10.292179440058462
198,47500.0,0,10.768506042432708
199,76500.0,20,11.245059091624615
200,17500.0,63,9.770013301136158
201,106000.0,5,11.571203807011969
202,93000.0,48,11.440365524765756
203,84000.0,5,11.338583982516495
204,99000.0,17,11.502885230075814
206,40500.0,15,10.609081944147828
207,44500.0,15,10.703266939811954
208,170000.0,3,12.04355959836804
209,49600.0,5,10.811766273800105
210,52600.0,14,10.87049040995193
211,20710.0,1,9.938420239076152
212,29430.0,3,10.289803819583309
213,43600.0,2,10.682835364853922
214,24300.0,5,10.098272780745283
215,34700.0,6,10.454523783963511
216,12900.0,52,9.465060106725137
217,24900.0,27,10.122663242288953
218,26900.0,7,10.199918739620157
219,31900.0,2,10.370392636243981
220,41900.0,0,10.643064971973882
221,50900.0,2,10.837637848711049
223,120000.0,76,11.695255355062795
224,85500.0,10,11.356283350762888
225,26410.0,13,10.181535869019624
226,37530.0,3,10.532922537124472
227,55600.0,6,10.925956465688445
228,110000.0,41,11.608244735642321
230,144000.0,8,11.87757552297847
231,39900.0,8,10.594156665220533
232,72500.0,2,11.19135563385109
233,72800.0,7,11.195484970354173
234,24700.0,5,10.114599007626499
235,35100.0,4,10.465984899076615
237,69000.0,18,11.141876276228
240,20500.0,109,9.928228944424575
241,105000.0,7,11.561725152903833
242,30900.0,2,10.33854382482173
243,44900.0,10,10.712215345197256
244,28500.0,34,10.25769445336048
245,94000.0,13,11.451060699493427
246,21400.0,19,9.97119292889014
247,24400.0,29,10.102379394048045
248,32500.0,24,10.389026137075234
249,37400.0,1,10.529452721013085
250,40400.0,6,10.606609816118151
251,74800.0,0,11.222586532857163
252,57000.0,75,10.950824090522445
253,21800.0,11,9.989711119284745
255,89000.0,65,11.39640288460621
256,128000.0,1,11.759793355371237
257,69500.0,1,11.149096419938578
258,74500.0,0,11.218567827096358
259,94500.0,6,11.456365695436427
261,101000.0,0,11.522885696764481
262,176000.0,0,12.07824495582233
263,34500.0,67,10.448743588106625
267,19800.0,29,9.893487720457795
268,25900.0,38,10.16203685698089
269,26700.0,8,10.192456296870509
270,35500.0,24,10.477316144080852
271,53500.0,3,10.887455624298198
272,68600.0,1,11.136062390867204
273,183600.0,0,12.120520203776788
275,48600.0,20,10.791399385808587
276,60750.0,10,11.014538821972666
277,78000.0,4,11.264476926102367
278,45500.0,20,10.725489582719506
279,41500.0,5,10.633472802314019
280,83000.0,13,11.326607934898927
281,2000.0,0,7.601402334583733
282,74000.0,1,11.211833885608513
283,27900.0,5,10.236417809461043
284,32400.0,13,10.385944565501662
285,53400.0,19,10.885584751364705
286,79900.0,5,11.288543647320601
287,129900.0,11,11.774527900858468
288,120500.0,0,11.699413330633599
289,21250.0,5,9.96415923206886
290,88000.0,1,11.385103457032141
292,39500.0,1,10.584081267024454
293,6500.0,110,8.77971129020447
294,192000.0,2,12.165255859329688
295,149000.0,9,11.91170829631447
296,199000.0,7,12.201065128819632
297,61500.0,28,11.026808713825016
298,68000.0,0,11.127277689932466
299,48500.0,7,10.789339695269716
300,78500.0,0,11.270866642542865
301,86000.0,2,11.362114203075018
302,58500.0,4,10.97679912709094
303,1650.0,0,7.409136443920128
304,2750.0,1,7.919719760924575
305,4400.0,1,8.38958706681109
306,36300.0,0,10.499600568082863
307,38500.0,1,10.55843949396453
308,39600.0,0,10.586609649448985
309,57200.0,1,10.954326659732555
310,58300.0,0,10.97337452485014
311,130000.0,7,11.775297421715827
312,103500.0,2,11.547336553476635
313,139500.0,1,11.845827048676645
314,153000.0,4,11.938199736300925
315,189000.0,7,12.149507585033072
316,2200.0,0,7.696667081526462
317,37200.0,22,10.524090921620362
318,25200.0,2,10.134638955251866
319,34800.0,13,10.457401400981889
320,197000.0,0,12.190964083849375
322,76000.0,2,11.23850177707664
325,16200.0,59,9.692828247710418
326,103000.0,151,11.542493975902508
327,198000.0,19,12.19602736016897
329,109000.0,1,11.599112335481124
330,114000.0,0,11.643962499267984
331,148500.0,1,11.908346971208951
332,115000.0,0,11.652696102959753
333,29700.0,2,10.298935994257638
334,145000.0,2,11.884495917930655
335,49800.0,12,10.815790343132422
338,3500.0,6,8.160803920954665
339,71000.0,2,11.170449240431308
